@RELATION P1BotAgent

@ATTRIBUTE celda[6][9] NUMERIC
@ATTRIBUTE celda[7][9] NUMERIC
@ATTRIBUTE celda[8][9] NUMERIC
@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[12][10] NUMERIC
@ATTRIBUTE celda[13][10] NUMERIC
@ATTRIBUTE celda[14][10] NUMERIC
@ATTRIBUTE celda[15][10] NUMERIC
@ATTRIBUTE celda[16][10] NUMERIC
@ATTRIBUTE celda[17][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[12][11] NUMERIC
@ATTRIBUTE celda[13][11] NUMERIC
@ATTRIBUTE celda[14][11] NUMERIC
@ATTRIBUTE celda[15][11] NUMERIC
@ATTRIBUTE celda[16][11] NUMERIC
@ATTRIBUTE celda[17][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE celda[12][12] NUMERIC
@ATTRIBUTE celda[13][12] NUMERIC
@ATTRIBUTE celda[14][12] NUMERIC
@ATTRIBUTE celda[15][12] NUMERIC
@ATTRIBUTE celda[16][12] NUMERIC
@ATTRIBUTE celda[17][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {00, 01, 10, 11}
@data
0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 320.05588, 198.8681, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 20, 320, 0, 0, 8, 3, 0, 127, 3, 12, 2, 0, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 326.13974, 208.19289, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 20, 326, 0, 0, 8, 3, 0, 127, 3, 12, 2, 2, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 332.75436, 219.11896, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 20, 332, 0, 0, 8, 3, 0, 127, 3, 12, 3, 4, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 339.84137, 223.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 196, 21, 339, 0, 0, 8, 3, 0, 127, 3, 12, 3, 4, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 347.34882, 223.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 21, 347, 0, 0, 8, 3, 0, 127, 3, 12, 3, 6, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 355.23044, 223.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 22, 355, 0, 0, 8, 3, 0, 127, 3, 12, 3, 8, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 363.4451, 223.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 22, 363, 0, 0, 8, 3, 0, 127, 3, 12, 2, 8, 0, 8, 0, 8, 1, 10
0, 0, 0, 0, 80, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 371.95615, 223.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 23, 371, 0, 0, 8, 3, 0, 127, 3, 11, 2, 6, 0, 6, 0, 6, -1, 10
0, 0, 0, 0, 80, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 380.73096, 209.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 23, 380, 0, 0, 8, 3, 0, 127, 3, 11, 2, 4, 0, 4, 0, 4, -3, 11
0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, -60, -60, 0, 0, 0, 0, 0, 0, 389.74054, 196.4, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 24, 389, 0, 0, 8, 3, 0, 127, 2, 9, 2, 4, 0, 4, 0, 4, -3, 10
